Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media,Idle Time
2909644666,"Oct 8, 2019, 9:32:06 PM",Afternoon Run,Run,,242,1.15,,,FALSE,,,activities/3094504366.tcx.gz,0,,242,242,1154.5999755859375,5.300000190734863,4.771074295043945,,,,,0,0,,,87,85.14893341064453,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2909644667,"Nov 2, 2019, 7:14:29 PM",Lunch Activity,Workout,,0,0,,,FALSE,,,activities/3094504349.fit.gz,,,0,0,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2909644676,"Oct 3, 2019, 9:48:21 PM",Afternoon Run,Run,,69,0.38,,,FALSE,,,activities/3094504357.gpx.gz,0,,69,69,385.6000061035156,6.099999904632568,5.588405609130859,,,219.39999389648438,220.10000610351562,2.0999999046325684,-0.02593361,,,96,91.30644989013672,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2909644681,"Oct 2, 2019, 9:40:10 PM",Afternoon Run,Run,,203,0.96,,,FALSE,,,activities/3094504359.gpx.gz,0,,203,203,966.7999877929688,6,4.762561798095703,,,226.89999389648438,228.60000610351562,0.8999999761581421,-0.031030202,,,89,84.46428680419922,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2909644682,"Nov 30, 2019, 3:19:33 PM",Morning Run,Run,,779,2.16,,,FALSE,,,activities/3094504371.gpx.gz,0,,779,596,2168.100098,4.300000190734863,3.637751579284668,22,,144,163.8000030517578,18.399999618530273,-0.018449334,,,83,77.89730834960938,,,,,0,,17,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183
2909644685,"Oct 8, 2019, 8:58:21 PM",Afternoon Run,Run,,566,1.81,,,FALSE,,,activities/3094504425.tcx.gz,0,,566,566,1817,4.400000095367432,3.210247278213501,,,,,0,0,,,83,77.97853088378906,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2909644688,"Sep 18, 2019, 9:45:29 PM",Afternoon Run,Run,,171,0.78,,,FALSE,,,activities/3094504356.gpx.gz,0,,171,171,779.5999755859375,5.599999904632568,4.5590643882751465,,,220.60000610351562,221.5,1.7000000476837158,-0.089789636,,,86,80.62805176,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2909644689,"Nov 19, 2019, 10:17:59 PM",Afternoon Run,Run,,817,2.95,,,FALSE,,,activities/3094504379.tcx.gz,0,,817,817,2953.100098,3.799999952316284,3.614565372467041,,,,,0,0,,,79,77.79681396484375,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2909644690,"Oct 2, 2019, 9:44:46 PM",Afternoon Run,Run,,202,0.94,,,FALSE,,,activities/3094504362.gpx.gz,0,,202,202,945.4000244140625,6.099999904632568,4.6801981925964355,,,226.8000030517578,228.60000610351562,1.2999999523162842,-0.0317326,,,87,84.53845977783203,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2909644691,"Sep 18, 2019, 9:16:55 PM",Afternoon Run,Run,,170,0.78,,,FALSE,,,activities/3094504363.gpx.gz,0,,170,170,780.2000122070312,5.699999809265137,4.589411735534668,,,220.60000610351562,221.60000610351562,1.100000023841858,-0.102537811,,,88,81.48148345947266,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2909644692,"Oct 19, 2019, 2:52:34 PM",Morning Run,Run,,502,1.7,,,FALSE,,,activities/3094504367.gpx.gz,0,,502,502,1705.4000244140625,3.9000000953674316,3.3972110748291016,10.199999809265137,,224.39999389648438,230.8000030517578,36.79999923706055,0.093819633,,,83,78.43227386,,,,,0,,20,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
